key,en,fr
username,username,nom d'utilisateur
password,password,mot de passe
go_login,login,connexion
welcome,welcome on cococo !,bienvenue sur cococo !
welcome-intro,"<p>
<strong>cococo</strong> is a debt management system that helps you track who owes you some money and vice-versa.
Start tracking your debts in only 3 easy steps:
</p>",
logout,logout,déconnexion
my-cococo,my cococo,mon cococo
cococo,cococo,
totals,totals,
history,history,
summary,summary,
add-debt,add debt,
adddebt,add debt,
add-debt-desc,"This form allows you to add a debt. After you submitted the debt, the other concerned user will have to confirm the new debt.",
hide-show-favs,hide / show favorites,
other-person,other person,
amount,amount,
refund,refund,
it-is-a-refund,it is a refund,
which-way,which way ?,
i-owe-them,i owe them,
they-owe-me,they owe me,
description,description,
optional,optional,
debt-date,date of the debt,
date-format-desc,date format: YYYY-MM-DD,
add-user,add a friend,
search-user,search user,
my-friends,my friends,
favs,my friends,
my-friends-desc,Your friends are a set of users that are easily accessible when you need to add a debt of perform other operations on this site.,
add-user-to-friends,add a user to my friends,
search,search,
my-profile,my profile,
profile,my profile,
my-profile-desc,The fields are modified as soon as they loose focus (when you click outside them).,
first-name,first name,
last-name,last name,
email,email,
value-modified,value saved !,
value-invalid,invalid value...,
language,language,
avatar,avatar,
current-avatar,current avatar,
new-avatar,new avatar,
image-will-be-resized-to-48px,the image will be resized to 48px,
new-password,new password,
new-password-confirm,new password (confirm),
send,send,
modify,modify,
signup,signup,
contact-us,contact us,
about,about,
